"id","label","date","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","f51","f52","f53","f54","f55","f56","f57","f58","f59","f60","f61","f62","f63","f64","f65","f66","f67","f68","f69","f70","f71","f72","f73","f74","f75","f76","f77","f78","f79","f80","f81","f82","f83","f84","f85","f86","f87","f88","f89","f90","f91","f92","f93","f94","f95","f96","f97","f98","f99","f100","f101","f102","f103","f104","f105","f106","f107","f108","f109","f110","f111","f112","f113","f114","f115","f116","f117","f118","f119","f120","f121","f122","f123","f124","f125","f126","f127","f128","f129","f130","f131","f132","f133","f134","f135","f136","f137","f138","f139","f140","f141","f142","f143","f144","f145","f146","f147","f148","f149","f150","f151","f152","f153","f154","f155","f156","f157","f158","f159","f160","f161","f162","f163","f164","f165","f166","f167","f168","f169","f170","f171","f172","f173","f174","f175","f176","f177","f178","f179","f180","f181","f182","f183","f184","f185","f186","f187","f188","f189","f190","f191","f192","f193","f194","f195","f196","f197","f198","f199","f200","f201","f202","f203","f204","f205","f206","f207","f208","f209","f210","f211","f212","f213","f214","f215","f216","f217","f218","f219","f220","f221","f222","f223","f224","f225","f226","f227","f228","f229","f230","f231","f232","f233","f234","f235","f236","f237","f238","f239","f240","f241","f242","f243","f244","f245","f246","f247","f248","f249","f250","f251","f252","f253","f254","f255","f256","f257","f258","f259","f260","f261","f262","f263","f264","f265","f266","f267","f268","f269","f270","f271","f272","f273","f274","f275","f276","f277","f278","f279","f280","f281","f282","f283","f284","f285","f286","f287","f288","f289","f290","f291","f292","f293","f294","f295","f296","f297"
"f10eb20f31cf7063ee8bdbd1272214e4d7e0193c8dbce45ad14463036ff95d0a","0","20171103","0","0","0","0","100807","0","5","1","1","1","1","2","0","2","0","2","2","2","1","31","61","142","245","0","1","0","1","0","0","1","0","0","1","1","0","","","","","","","","","","","","","1","0","1","0","1","1","2","2","1","1","2","2","1","2","2","3","96","38","301","302","302","302","301","302","40","79","40","79","2","3","4","3","41","80","96.5","721.1","3252","154.5","394.5","2","1","2","1","2","1","2","1","1","2","1","4","8","15","30","4","14","34","70","142","3","15","41","79","191","192","190","190","190","190","191","192","191","190","190","190","32","33","25","25","24","25","31","79","42","42","42","68","32","32","28","27","28","27","32","235","235","126","126","127","126","235","192","191","190","189","189","301","2","1","1","1","1","2","2","3","3","4","1","2","2","1","2","1","1","1","2","1","2","1","1","2","1","1","1","2","4","3","4","2","1","1","1","2","1","2","2","2","1","2","1","1","1","2","1","1","2","3","3","3","14","41","80","167","2","2","4","3","3","4","6","6","2","2","4","3","2","2","3","4","3","3","4","1","3","3","4","2","2","2","2","8","2","2","3","3","3","2","5","5","10","16","2","2","4","5","7","2","2","2","2","1","2","2","2","1","2","2","1","1","1","1","1","2","2","2","2","1","1","1","1","27","297","302","384","770","20","99","102","124","140","301","312","328","85","302","201","203","203","61","201"
"d861929b67938d06538b910b9f6b85f5eb62b6ad7361ba36bd3bbce45609361c","0","20170917","0","1","1","1","100805","1","5","2","1","1","0","2","1","2","2","1","1","2","0","14","13","48","48","0","0","0","0","1","1","0","0","1","1","1","1","","","","","","","","","","","","","0","0","0","1","0","1","1","2","4","4","5","1","1","4","3","3","79","12","302","32","301","302","302","302","23","26","23","26","2","2","3","4","23","26","5","717.4","733.3","231.8","472.8","1","2","2","2","2","1","2","2","1","2","1","4","8","11","12","4","12","23","26","27","5","12","24","27","122","121","16","121","121","122","121","122","121","16","121","122","32","31","13","27","26","27","32","79","40","39","39","63","31","31","15","28","29","29","31","231","232","17","99","99","98","232","121","122","17","121","121","302","2","1","1","2","2","2","2","2","1","1","1","2","1","2","2","1","2","1","1","2","2","2","1","1","2","1","1","1","2","2","2","1","2","2","2","1","1","2","2","2","2","2","1","1","2","2","1","2","1","1","4","5","12","24","26","27","1","2","1","2","1","1","1","2","2","1","1","2","1","2","2","2","2","2","2","2","2","2","1","2","2","1","1","2","1","1","2","1","2","1","2","1","2","2","2","2","2","1","1","2","1","2","2","2","1","2","2","1","3","2","2","2","1","1","1","1","1","1","2","1","2","1","1","13","158","301","335","398","4","54","109","112","113","302","324","391","13","302","160","160","161","8","160"
"1270cb8a85eedd57672b2c6297fa5633e36773a2c3a351960e1c22b75074ea23","0","20171022","0","0","1","0","100102","0","6","1","0","0","0","2","1","2","1","1","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","2","2","2","2","1","2","1","1","1","1","2","1","2","2","1","2","1","2","1","1","1","3","2","2","2","1","2","2","2","1","2","1","2","1","2","2","1","2","2","2","15","18","37","102","139","206","253","2","1","1","2","2","2","2","2","2","2","1","1","2","1","2","2","1","1","1","2","1","1","2","2","1","2","2","2","1","2","2","1","2","2","2","2","7","13","2","1","2","4","6","1","2","2","1","2","1","2","2","2","2","2","2","2","2","1","1","1","2","2","1","0","0","1","0","","","","","","","","","","","","","","","","","","","",""
"9fa009724ee7ff9d688ae321304fbc78f608cdabbfdd2b06b73dc34e77c7bf80","0","20171029","0","0","0","1","100807","1","4","1","2","2","0","0","0","2","0","1","1","1","1","32","55","152","241","1","1","0","1","0","1","0","0","0","0","0","0","","","","","","","","","","","","","0","0","1","1","1","1","1","2","3","6","5","1","2","3","6","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","2","2","1","1","1","2","2","2","2","1","2","1","2","1","2","1","1","3","3","3","2","2","2","2","1","2","2","2","1","2","2","1","2","1","1","1","2","1","2","1","2","1","3","5","11","19","23","1","2","1","2","1","1","1","1","1","2","1","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","2","2","1","2","2","1","1","2","1","1","1","2","2","2","1","1","1","2","2","2","2","2","1","2","3","11","16","3","12","16","2","2","1","1","2","1","1","2","2","1","2","30","105","301","437","763","7","40","115","138","143","302","322","341","57","251","175","176","176","49","150"
"1da482485d7e8bcefae7e9d0d1167cec3ac111cfa71d8bb839b0ea17f9619b84","0","20171002","1","1","0","1","100805","1","5","1","2","0","0","0","1","1","2","1","1","2","0","28","28","103","104","1","1","1","0","0","1","1","0","1","1","0","1","","","","","","","","","","","","","1","0","0","0","1","1","1","2","1","1","2","2","2","2","1","1","89","32","301","243","301","301","301","301","15","14","15","15","2","2","3","3","18","27","51","7952.6","15752.6","86.8","7686.8","2","2","1","2","1","1","2","2","2","2","3","5","6","8","14","3","12","19","27","34","3","11","16","15","217","218","176","216","216","215","217","218","217","177","216","216","35","34","28","30","29","30","32","81","48","48","48","65","31","32","29","29","28","29","30","241","241","127","143","144","144","241","218","218","177","216","215","302","1","2","2","2","1","1","2","1","1","2","2","1","1","1","1","2","2","2","1","2","2","2","1","2","2","1","2","1","2","2","1","2","1","1","2","1","2","1","1","1","1","1","1","2","1","1","2","2","2","1","2","2","10","15","15","16","1","2","2","2","1","2","2","3","2","2","1","1","1","1","2","1","1","2","2","2","2","2","2","2","3","2","3","3","1","2","1","2","1","2","2","2","3","3","2","2","2","2","2","1","2","1","1","1","2","1","3","15","16","2","15","16","2","1","1","1","1","1","2","2","2","2","2","21","156","302","369","505","11","49","99","113","117","302","301","301","74","302","182","181","182","51","181"
"81b481d377dc060f6c3249d086d28b0fb4c3781a72927da0ab3e01b8956b7f25","0","20171012","0","0","1","1","100802","0","6","2","1","2","2","1","1","2","1","2","2","1","1","0","1","0","0","1","0","0","1","0","1","0","1","0","0","1","1","","","","","","","","","","","","","1","0","1","1","0","0","3","3","3","3","2","1","1","2","1","2","2","2","18","16","16","17","16","16","15","21","14","21","15","16","15","16","17","24","789.2","1527.4","2038.4","789.2","790.2","1","2","1","2","1","1","2","2","1","2","2","1","3","5","7","12","13","15","21","28","18","18","19","25","1","1","1","2","1","1","2","2","2","2","2","1","2","1","1","2","2","2","1","2","2","1","2","1","2","2","1","1","1","1","2","1","2","1","1","1","1","1","1","1","1","1","2","17","1","2","1","2","1","1","1","2","2","1","2","1","2","2","1","2","1","2","2","1","2","1","2","2","2","2","2","1","1","2","2","1","1","1","2","2","1","1","2","1","2","1","2","2","1","2","2","1","2","19","18","19","18","21","26","34","1","1","1","2","14","15","14","15","2","1","1","2","1","1","1","2","2","2","2","2","1","1","2","1","1","1","1","2","1","1","2","1","2","7","7","8","8","7","2","2","1","2","2","1","1","2","1","1","2","2","1","2","1","2","2","1","2","1","2","1","1","1","1","0","1","1","2","2","2","2","2","1","2","2","1","1","1","6","6","5","5","6","2","1","2","2","2"
"cda7677920fc9bad4bb727ed8a87f59e3400572f75fd46f6a4cbb072cb069bc9","0","20170927","0","1","1","0","100805","0","6","2","1","1","1","2","2","1","2","0","2","2","2","24","24","89","89","0","1","1","0","1","1","0","0","","","","","","","","","","","","","","","","","","","","","0","1","","","","","","","","","","","201","40","302","302","302","302","301","301","44","88","44","88","7","8","7","18","45","92","28","3383.6","10657.4","399","493.9","2","1","1","2","1","2","1","1","1","2","2","3","7","16","21","17","19","45","92","117","17","18","45","89","227","227","225","225","225","225","228","227","227","224","224","225","34","35","31","31","32","32","34","179","41","40","41","91","31","32","27","28","28","28","31","229","229","142","141","142","141","228","227","226","224","225","225","302","1","1","2","1","2","2","1","2","1","1","1","2","1","2","2","1","1","2","2","1","1","1","2","2","1","2","2","1","1","2","3","1","2","1","2","2","2","1","2","2","2","2","2","2","1","2","2","1","2","7","7","17","18","45","90","117","2","1","1","2","7","7","7","8","2","1","2","1","2","1","1","2","2","2","1","1","1","2","1","1","1","1","2","1","2","1","2","1","2","7","8","8","8","8","1","1","1","1","1","2","1","2","1","1","1","2","2","1","1","2","1","2","2","2","2","2","1","1","2","1","1","0","2","57","250","301","319","352","23","118","134","142","143","301","301","301","150","301","239","239","239","116","240"
"19d100ff146a203f0e558fd60534b8ece650be4ecb4564b5ab7a11a855741893","0","20171027","1","0","0","1","100802","0","6","2","0","1","0","2","2","1","2","2","2","2","0","31","53","152","233","0","1","0","0","1","0","0","1","0","1","1","0","","","","","","","","","","","","","0","0","1","0","1","0","1","2","1","2","2","1","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","1","1","1","2","1","2","2","2","2","1","1","1","2","2","1","3","1","1","1","2","2","2","1","2","1","2","1","1","1","1","1","2","2","2","1","2","1","1","2","1","1","2","2","1","1","3","9","16","2","1","1","1","1","1","1","1","2","1","2","2","1","2","1","2","1","1","1","2","1","2","2","1","2","2","2","1","1","1","2","2","1","1","1","2","5","7","1","2","2","3","5","2","1","1","1","1","2","2","2","1","1","1","1","2","1","1","1","1","1","1","1","0","0","0","0","73","181","302","381","630","29","77","112","130","134","301","314","321","150","302","189","188","189","92","188"
"49ff13e491c3e4c680cdf39e9b3b85560a4bb80994ac63bc6bacb5791e68967e","0","20170926","1","1","1","1","100802","0","7","2","1","1","1","1","2","1","1","1","1","2","1","0","0","1","1","1","1","0","0","1","0","0","0","1","1","0","0","","","","","","","","","","","","","0","0","0","1","1","1","1","2","1","1","1","1","1","1","1","2","1","1","18","1","1","2","2","5","12","23","13","23","1","1","1","6","14","24","11","65692.4","81568.8","53411","65410","1","1","1","2","2","2","1","1","1","1","2","3","7","13","15","5","8","13","23","28","5","7","13","23","2","1","2","2","1","2","2","1","1","2","1","2","1","1","2","2","1","2","2","1","1","2","1","2","2","2","1","1","1","2","1","2","2","1","2","2","1","2","1","2","2","1","2","13","2","1","1","1","1","1","1","1","2","2","1","1","2","1","2","1","2","1","1","1","1","1","2","2","2","1","2","1","2","3","3","2","2","2","2","1","1","2","2","1","2","2","1","2","1","2","2","1","2","1","2","5","8","13","24","29","1","2","1","1","1","1","2","2","1","2","1","2","1","1","2","2","1","2","2","1","1","1","1","2","1","2","1","2","2","2","1","1","2","2","1","1","1","1","2","1","1","2","2","2","2","2","2","2","1","2","2","1","2","1","1","2","2","1","1","1","2","1","2","0","1","0","2","1","2","2","1","1","2","1","1","1","2","2","1","1","1","2","2","1","2","2","2"
"ee3adc3a1b88a30297f86cf77c0fcd1d5c17653f1a982882f5b6ae1257bd32ab","0","20171011","1","1","1","0","100804","0","2","1","1","0","1","2","2","2","2","1","1","2","1","32","38","113","133","0","0","0","0","0","0","0","0","9","9","4","5","","","","","","","","","","","","","8","8","3","4","1","1","1","3","6","10","24","1","3","5","8","17","93","36","302","301","302","302","302","302","26","49","26","49","2","2","1","10","26","51","15","5625.3","6581.7","1753.2","3420.7","1","2","2","2","2","2","1","1","2","1","1","4","7","14","28","10","18","26","48","95","11","18","26","49","193","193","190","190","191","191","193","193","192","190","191","191","33","35","29","29","29","28","31","84","42","43","43","64","32","32","28","28","27","28","32","240","241","133","134","134","134","237","192","193","191","191","190","302","2","2","2","2","1","2","1","1","2","1","1","1","2","2","2","1","1","2","1","2","1","1","1","1","1","2","2","4","4","4","4","2","2","2","2","1","1","2","2","1","1","2","1","2","1","1","2","2","2","2","2","10","19","27","49","98","2","1","2","2","1","2","1","2","1","1","1","1","2","1","1","2","2","2","1","1","2","2","1","1","1","2","2","1","2","1","1","2","1","1","2","1","2","1","1","1","2","1","1","2","2","2","1","1","2","1","2","1","2","2","2","2","1","1","2","2","1","1","2","0","0","0","1","41","125","301","431","1081","17","44","91","109","124","302","356","613","82","216","155","156","155","52","116"
